,Publisher,Media,Name of Comic,,Story Title,,Year,,Volume,,No.,,Front Cover Artist,,Artist 1,,Artist 2,,Artist 3,,Condition,,Est. Value,,Notes
,DC,Comic,Action Comics,,,,,,37,,433,,,,,,,,,,Incomplete,,0,,
,DC,Comic,Action Comics,,Don't Get Off on the 13th Floor,,1975,,38,,448,,,,"Swan, Curt",,"Oksner, Bob",,,,VG,,5,,
,DC,Comic,Action Comics,,The Atom Nightmare in Gold,,1975,,38,,448,,,,"Dillin, Dick",,"Lopez, Garcia",,,,,,,,
TRUE,DC,Comic,Action Comics,,The Loser & New Champion,,1975,,38,,452,,,,"Swan, Curt",,"Blaisdell, Tex",,,,FN/VF,,4,,
TRUE,DC,Comic,Action Comics,,"Green Arrow, When Madmen Rule The World",,1975,,38,,452,,,,"Grell, Mike",,,,,,,,,,
TRUE,DC,Comic,Action Comics,,"Superman, You're Not Clark Kent, and I Can Prove It",,1976,,,,457,,,,"Swan, Curt",,"Blaisdell, Tex",,,,FN,,3,,
TRUE,DC,Comic,Action Comics,,"Green Arrow & Black Canary, Flight of the Nutty Kid",,1976,,,,457,,,,"Grell, Mike",,,,,,,,,,
TRUE,DC,Comic,Action Comics,,Make Me a Superhero,,1976,,,,458,,,,"Swan, Curt",,"Blaisdell, Tex",,,,FN/VF,,4,,Great cover art
TRUE,DC,Comic,Action Comics,,"Green Arrow & Black Canary, Masquerade of the Nutty Kid",,1976,,,,458,,,,"Grell, Mike",,,,,,,,,,
TRUE,DC,Comic,Action Comics,,Make Me a Superhero,,1976,,,,458,,,,"Swan, Curt",,"Blaisdell, Tex",,,,VF minus,,4,,
TRUE,DC,Comic,Action Comics,,"Green Arrow & Black Canary, Masquerade of the Nutty Kid",,1976,,,,458,,,,"Grell, Mike",,,,,,,,,,
true ,DC,Comic,Action Comics,,Super-War of Independence,,1976,,,,462,,,,"Swan, Curt",,"Blaisdell, Tex",,,,FN,,4,,
true ,DC,Comic,Action Comics,,Krypto in This is a Dog for Superdog,,1976,,,,462,,,,"Swan, Curt",,"Milgrom, Al",,,,,,,,
true ,DC,Comic,Action Comics,,"Stop it, Superman, You're Wrecking the World",,1977,,,,467,,,,"Swan, Curt",,"Blaisdell, Tex",,,,FN/VF,,4,,Blaisdell spelled with one l
true ,DC,Comic,Action Comics,,"Krypto, Mr. Mxyzptlk, a Superman's Best Friend is His Superdog",,1977,,,,467,,,,"Swan, Curt",,"Blaisdell, Tex",,,,,,,,
true ,DC,Comic,Action Comics,,The Night Superman Was Buried in Boothill,,1977,,,,469,,,,"Swan, Curt",,"Blaisdell, Tex",,,,VF minus,,4,,
true ,DC,Comic,Action Comics,,"The Private Life of Clark Kent, Clark Kent's Lonely Christmas",,1977,,,,469,,,,"Calnan, John",,"Blaisdell, Tex",,,,,,,,
true ,DC,Comic,Action Comics,,One of Our Phantoms is Missing,,1977,,,,471,,"Oxner, Bob",,"Swan, Curt",,"Blaisdell, Tex",,,,VF minus,,12,,Garcia Lopez also on cover
true ,DC,Comic,Action Comics,,"The Private Life of Clark Kent, The Long Weekend",,1977,,,,471,,"Oxner, Bob",,"Calnan, John",,"Blaisdell, Tex",,,,,,,,
,DC,Comic,Action Comics,,Superman's Arch-Rival for Lois Lane,,1981,,,,520,,"Andru, ",,"Swan, Curt",,,,,,GD/VG,,5,,Dick Giordano also on cover
,DC,Comic,Action Comics,,"Aquaman, the End",,1981,,,,520,,"Andru,",,"Heck, Don",,,,,,,,,,
TRUE,DC,Comic,Action Comics,,The Great Phantom Peril,,1977,,40,,473,,"Swan, Curt",,"Swan, Curt",,"Blaisdell, Tex",,,,VF minus,,9,,"Neal Adams, cover artist"
,DC,Comic,Action Comics,,Luthor's Last Stand,,1980,,,,510,,"Andru,",,"Swan, Curt",,"Chiaramonte, Frank",,,,GD,,5,,cover torn
,DC,Comic,Adventure Comics Featuring Starman & Plastic Man,,Starman in Death in a Dark-Starred Void!,,1980,,46,,469,,Sherman,,"Ditko, Steve",,"Tanghal, Romeo",,,,Poor,,0,,
,DC,Comic,Adventure Comics Featuring Starman & Plastic Man,,Code Name:  Pink Eye!,,1980,,46,,469,,Sherman,,"Staton, Joe",,"Smith, Bob",,,,,,,,
,DC,Comic,Adventure Comics Presents ,,"Dial ""H"" for Hero",,1981,,47,,482,,"Infantino, Carmine",,"Infantino, Carmine",,"Jensen, Dennis",,"Heck, Don",,,,,,New Characters Created by Young Fans
,DC,Comic,Adventure Comics Presents ,,By the Light of the Silversmith!,,1981,,47,,482,,"Infantino, Carmine",,"Infantino, Carmine",,"Jensen, Dennis",,"Heck, Don",,,,,,
,DC,Comic,Adventure Comics Presents ,,Sharper than a Serpent's Tooth!,,1981,,47,,482,,"Infantino, Carmine",,"Infantino, Carmine",,"Jensen, Dennis",,"Heck, Don",,,,,,
,Marvel,Comic,All-New Wolverine,,Bonus Digital Edition,,2016,,,,1,,,,"Lopez, David",,"Navarrot, David",,"Fairbairn, Nathan",,water damage,,,,
,Marvel,Comic,All-New Wolverine,,,,2016,,,,2,,,,"Lopez, David",,"Navarrot, David",,"Fairbairn, Nathan",,water damage,,,,
,Marvel,Comic,All-New Wolverine,,,,2016,,,,3,,,,"Lopez, David",,"Navarrot, David",,"Fairbairn, Nathan",,water damage,,,,
,DC,Comic,All-Star Comics Presents Supersquad,,All-Star Supersquad,,1976,,12,,58,,"Grell, Mike",,"Estrada, Ric",,"Wood, Wally",,,,M,,108,,
,DC,Comic,All-Star Comics With the Supersquad,,Brainwave Blows Up,,1976,,23,,59,,,,"Estrada, Ric",,"Wood, Wally",,,,M,,31,,
TRUE,DC,Comic,Anthro,,It Could Be You,,1968,,,,4,,"Post, Howie",,"Post, Howie",,,,,,M,,60,,
,DC,Comic,Aquaman,,A Life for a Life,,1977,,11,,57,,"Aparo, Jim",,"Aparo, Jim",,,,,,M minus,,,,
,DC,Comic,"Aquaman, Adventure Comics",,"Crown, Crisis, and Cataclysm",,1976,,42,,448,,"Aparo, Jim",,"Aparo, Jim",,,,,,NM,,,,
,Rip Off Press,Comic,Armadillo Comics,,Several Stories,,1971,,,,2,,"Franklin, Jim",,"Franklin, Jim",,,,,,VF/NM,,80,,Old Vulcan Gas Co.
,Rip Off Press,Comic,Armadillo Comics,,Drawing of Jim Franklin,,1971,,,,2,,,,"Beefheart, Captain",,,,,,VF,,,,
,Last Gasp Inc,Comic,Bakersfield Kountry Komics,,,,1973,,,,,,"Welz, Larry",,"Welz, Larry",,"Sutherland, Larry",,,,VF/NM,,20,,
TRUE,DC,Comic,Bat Man,,Riddler on the Rampage,,1976,,37,,279,,"Chua, Ernie",,"Chua, Ernie",,"Blaisdell, Tex",,,,M minus,,,,
TRUE,DC,Comic,Bat Man,,,,2020,,,,336,,"Adler, Jack",,"Orlando, Joe",,"Adler, Jack",,,,Incomplete: torn front cover only,,0,,
,Spoof Comics,Comic,Batbabe,,,,1992,,,,2,,"Hughes, Adam",,"Martinez, Henry",,"Schaefer, Dan",,"Petrey, Willard",,VF,,,,
,DC,Comic,"Beowulf, Dragon Slayer",,The Curse of Castle Hrothgar,,1975,,1,,1,,"Villamonte, Ricardo",,"Villamonte, Ricardo",,,,,,NM minus,,15,,
,DC,Comic,"Beowulf, Dragon Slayer",,Slave Maid of Satan,,1975,,1,,2,,,,"Villamonte, Ricardo",,,,,,VF/NM,,6,,
,DC,Comic,"Beowulf, Dragon Slayer",,Man-Apes & Magic,,1975,,1,,3,,,,"Villamonte, Ricardo",,,,,,NM minus,,8,,
,DC,Comic,"Beowulf, Dragon Slayer",,Valley in the Shadow of Death,,1975,,1,,4,,,,"Villamonte, Ricardo",,,,,,NM/M,,13,,
,DC,Comic,"Beowulf, Dragon Slayer",,Chariots of the Stars,,1975,,1,,5,,,,"Villamonte, Ricardo",,,,,,NM minus,,8,,
,Humor Comics,Comic,Big Berd vs. Arnold Schwarzenheimer,,Judgment Day,,2020,,,,,,"Perry, Rod",,"Arvis, Tom",,,,,,VF,,
TRUE,Kitchen Sink Enterprises,Comic,Bijou Funnies,,Nard n' Pat,,2020,,1,,6,,,,"Lynch, Jay",,,,,,,,
TRUE,Bijou Publishing Empire,Comic,Bijou Funnies,,Snappy Sammy Smoot,,1972,,1,,7,,"Crumb, R",,"Williamson, Skip",,,,,,,,
,DC,Comic,Black Canary,,Hero Worship Part I,,1993,,,,1,,,,"Van Eeden, Trevor",,"Smith, Bob",,,,NM,,3
,DC,Comic,Black Canary,,Hero Worship Part II,,1993,,,,2,,,,"Van Eeden, Trevor",,"Smith, Bob",,,,NM,,3
,DC,Comic,"Black Goliath, Marvel Comics Group",,,,1976,,1,,1,,,,"Tuska, George",,"Colleta, Vince",,,,Incomplete; no cover,,0
,DC,Comic,"Black Goliath, Marvel Comics Group",,White Fire…Atomic Death,,1976,,1,,2,,,,"Tuska, George",,"Colleta, Vince",,,,VF/NM,,13
,DC,Comic,"Black Goliath, Marvel Comics Group",,Dance to the Murder,,1976,,1,,3,,,,"Tuska, George",,"Colleta, Vince",,,,VF/NM,,13
,DC,Comic,"Black Goliath, Marvel Comics Group",,Vs. the Stilt Man - When Giants Clash,,1976,,1,,4,,"Kirby, Jack",,"Tuska, George",,"Colleta, Vince",,,,VF minus,,8
,DC,Comic,"Black Goliath, Marvel Comics Group",,While Titans Rage,,1976,,1,,5,,"Kirby, Jack",,"Pollard, Keith",,,,,,VF minus,,8
,Marvel,Comic,"Black Panther Action in a Mystic Realm, Marvel Comics Group",,A Cup of Youth,,1977,,1,,6,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,VF minus,,12
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,King Cadaver is Dead & Living in Wakanda,,1974,,1,,10,,,,"Graham, Billy",,"Jansen, Klaus",,,,VF minus,,13
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Once You Slay the Dragon,,1974,,1,,11,,,,"Graham, Billy",,"Jansen, Klaus",,,,NM,,25
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Blood Stains on Virgin Snow,,1974,,1,,12,,Buckler,,"Graham, Billy",,"Jansen, Klaus",,,,VF minus,,12
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,The God Killer,,1974,,1,,13,,"Anison, G.K.",,"Graham, Billy",,"Russell, Craig",,,,VF/NM,,20
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,There Are Serpents Lurking in Paradise,,1974,,1,,14,,,,"Graham, Billy",,"Marcos, Pablo",,,,NM,,25
